year;month;residential;sme;industrial;direct;market
2016;1;4363187;31772;22750;365;liberalised
2016;2;4396260;31864;22812;366;liberalised
2016;3;4428357;31959;22847;366;liberalised
2016;4;4457645;32074;22903;365;liberalised
2016;5;4489042;32188;22965;367;liberalised
2016;6;4526071;32299;23020;367;liberalised
2016;7;4556799;32453;23075;368;liberalised
2016;8;4587530;32539;23109;368;liberalised
2016;9;4613438;32632;23144;366;liberalised
2016;10;4637059;32692;23161;367;liberalised
2016;11;4661956;32821;23199;368;liberalised
2016;12;4687144;32929;23240;369;liberalised
2017;1;4709601;33035;23278;370;liberalised
2017;2;4732855;33121;23314;371;liberalised
2017;3;4754413;33222;23327;372;liberalised
2017;4;4774385;33270;23365;373;liberalised
2017;5;4795895;33298;23347;373;liberalised
2017;6;4815719;33433;23432;374;liberalised
2017;7;4835926;33594;23482;373;liberalised
2017;8;4853906;33701;23521;374;liberalised
2017;9;4867568;33795;23573;374;liberalised
2017;10;4883365;33893;23601;373;liberalised
2017;11;4894024;33879;23540;374;liberalised
2017;12;4906529;33925;23606;374;liberalised
2018;1;4917277;34080;23672;375;liberalised
2018;2;4929029;34155;23722;377;liberalised
2018;3;4945570;34268;23754;376;liberalised
2018;4;4956849;34325;23783;377;liberalised
2018;5;4968428;34400;23820;377;liberalised
2018;6;4981520;34485;23852;377;liberalised
2018;7;4992392;34568;23900;377;liberalised
2018;8;5002781;34630;23939;378;liberalised
2018;9;5010998;34695;23942;379;liberalised
2018;10;5019992;34736;23940;380;liberalised
2018;11;5029633;34807;23971;380;liberalised
2018;12;5041003;34912;24008;380;liberalised
2019;1;5050397;34969;24044;382;liberalised
2019;2;5061484;35006;24073;383;liberalised
2019;3;5073158;35061;24108;381;liberalised
2019;4;5086017;35182;24147;382;liberalised
2019;5;5100087;35278;24176;382;liberalised
2019;6;5112412;35366;24225;383;liberalised
2019;7;5128108;35489;24284;384;liberalised
2019;8;5141087;35562;24306;385;liberalised
2019;9;5153464;35650;24340;386;liberalised
2019;10;5164787;35722;24378;386;liberalised
2019;11;5173326;35779;24399;389;liberalised
2019;12;5182701;35844;24419;388;liberalised
2020;1;5192407;35902;24473;392;liberalised
2020;2;5203138;35959;24496;392;liberalised
2020;3;5212749;35999;24524;391;liberalised
2020;4;5216529;36032;24535;392;liberalised
2020;5;5226498;36089;24566;392;liberalised
2020;6;5238506;36154;24600;393;liberalised
2020;7;5250511;36238;24643;394;liberalised
2020;8;5258898;36294;24687;394;liberalised
2020;9;5262328;36295;24719;394;liberalised
2020;10;5269611;36356;24764;396;liberalised
2020;11;5271987;36393;24517;396;liberalised
2020;12;5275492;36399;24541;396;liberalised
2021;1;5281084;36438;24547;398;liberalised
2021;2;5288814;36488;24571;399;liberalised
2021;3;5300345;36568;24609;397;liberalised
2021;4;5313559;36644;24634;395;liberalised
2021;5;5328857;36726;24687;396;liberalised
2021;6;5341354;36792;24713;399;liberalised
2021;7;5354842;36903;24765;400;liberalised
2021;8;5367315;37003;24824;400;liberalised
2021;9;5377350;37104;24862;400;liberalised
2021;10;5370204;36631;24588;395;liberalised
2021;11;5371838;36682;24614;399;liberalised
2021;12;5378208;36765;24630;401;liberalised
2022;1;5383031;36756;24599;402;liberalised
2016;1;1682653;2695;1230;2;regulated
2016;2;1653097;2631;1193;2;regulated
2016;3;1624364;2574;1171;4;regulated
2016;4;1596377;2517;1131;4;regulated
2016;5;1570604;2459;1096;4;regulated
2016;6;1540980;2476;1076;4;regulated
2016;7;1515248;2425;1052;4;regulated
2016;8;1488196;2424;1035;4;regulated
2016;9;1464563;2313;1022;4;regulated
2016;10;1441946;2215;1001;3;regulated
2016;11;1418708;2172;977;3;regulated
2016;12;1395580;2150;958;3;regulated
2017;1;1371200;2016;936;3;regulated
2017;2;1352616;1992;921;2;regulated
2017;3;1333613;1936;906;2;regulated
2017;4;1317937;1932;878;2;regulated
2017;5;1303598;1980;926;2;regulated
2017;6;1291785;2019;873;2;regulated
2017;7;1278060;1935;853;2;regulated
2017;8;1261811;1851;841;2;regulated
2017;9;1248862;1803;818;2;regulated
2017;10;1236573;1714;809;2;regulated
2017;11;1229851;1825;905;2;regulated
2017;12;1219849;1824;871;2;regulated
2018;1;1208854;1690;803;2;regulated
2018;2;1199929;1640;777;2;regulated
2018;3;1187747;1595;755;2;regulated
2018;4;1179402;1606;746;2;regulated
2018;5;1171011;1607;732;2;regulated
2018;6;1163269;1629;724;2;regulated
2018;7;1159074;1680;724;2;regulated
2018;8;1152020;1633;715;2;regulated
2018;9;1144419;1578;710;2;regulated
2018;10;1138141;1515;739;2;regulated
2018;11;1131473;1551;728;2;regulated
2018;12;1123086;1541;711;2;regulated
2019;1;1113023;1424;700;2;regulated
2019;2;1104850;1424;689;2;regulated
2019;3;1097171;1412;680;2;regulated
2019;4;1091283;1425;675;2;regulated
2019;5;1083996;1442;664;2;regulated
2019;6;1078091;1442;648;2;regulated
2019;7;1070288;1446;636;2;regulated
2019;8;1062066;1401;633;2;regulated
2019;9;1052690;1361;629;2;regulated
2019;10;1043216;1254;615;2;regulated
2019;11;1037408;1291;615;2;regulated
2019;12;1032101;1300;603;2;regulated
2020;1;1022054;1206;591;2;regulated
2020;2;1014829;1199;586;2;regulated
2020;3;1009818;1191;576;2;regulated
2020;4;1007620;1178;573;2;regulated
2020;5;1003492;1172;572;2;regulated
2020;6;999021;1164;567;2;regulated
2020;7;993676;1175;564;2;regulated
2020;8;986935;1161;559;2;regulated
2020;9;980833;1153;556;2;regulated
2020;10;975163;1126;553;2;regulated
2020;11;969251;1116;550;2;regulated
2020;12;963976;1115;550;2;regulated
2021;1;957398;1102;545;2;regulated
2021;2;952316;1098;541;2;regulated
2021;3;946848;1080;537;2;regulated
2021;4;941397;1074;533;2;regulated
2021;5;935879;1084;532;2;regulated
2021;6;931413;1092;530;2;regulated
2021;7;925386;1071;528;2;regulated
2021;8;919322;1072;525;2;regulated
2021;9;913604;1053;524;2;regulated
2021;10;924305;1592;910;8;regulated
2021;11;929377;1645;914;5;regulated
2021;12;927593;1636;909;5;regulated
2022;1;924838;1652;954;5;regulated
