year;month;day;country
2013;1;1;ES
2013;1;7;ES
2013;3;29;ES
2013;5;1;ES
2013;8;15;ES
2013;10;12;ES
2013;11;1;ES
2013;12;6;ES
2013;12;8;ES
2013;12;25;ES
2014;1;1;ES
2014;1;6;ES
2014;4;18;ES
2014;5;1;ES
2014;8;15;ES
2014;10;12;ES
2014;11;1;ES
2014;12;6;ES
2014;12;8;ES
2014;12;25;ES
2015;1;1;ES
2015;1;6;ES
2015;4;3;ES
2015;5;1;ES
2015;8;15;ES
2015;10;12;ES
2015;11;1;ES
2015;12;6;ES
2015;12;8;ES
2015;12;25;ES
2016;1;1;ES
2016;1;6;ES
2016;3;25;ES
2016;5;1;ES
2016;8;15;ES
2016;10;12;ES
2016;11;1;ES
2016;12;6;ES
2016;12;8;ES
2016;12;26;ES
2017;1;6;ES
2017;4;14;ES
2017;5;1;ES
2017;8;15;ES
2017;10;12;ES
2017;11;1;ES
2017;12;6;ES
2017;12;8;ES
2017;12;25;ES
2018;1;1;ES
2018;1;6;ES
2018;3;30;ES
2018;5;1;ES
2018;8;15;ES
2018;10;12;ES
2018;11;1;ES
2018;12;6;ES
2018;12;8;ES
2018;12;25;ES
2019;1;1;ES
2019;1;7;ES
2019;4;19;ES
2019;5;1;ES
2019;8;15;ES
2019;10;12;ES
2019;11;1;ES
2019;12;6;ES
2019;12;9;ES
2019;12;25;ES
2020;1;1;ES
2020;1;6;ES
2020;4;10;ES
2020;5;1;ES
2020;8;15;ES
2020;10;12;ES
2020;11;2;ES
2020;12;7;ES
2020;12;8;ES
2020;12;25;ES
2021;1;1;ES
2021;1;6;ES
2021;4;2;ES
2021;5;1;ES
2021;8;15;ES
2021;10;12;ES
2021;11;1;ES
2021;12;7;ES
2021;12;8;ES
2021;12;25;ES
2022;1;1;ES
2022;1;6;ES
2022;4;15;ES
2022;5;1;ES
2022;8;15;ES
2022;10;12;ES
2022;11;1;ES
2022;12;7;ES
2022;12;8;ES
2022;12;25;ES
2022;1;1;PT
2022;4;15;PT
2022;4;17;PT
2022;4;25;PT
2022;5;1;PT
2022;6;10;PT
2022;8;15;PT
2022;10;5;PT
2022;11;1;PT
2022;12;1;PT
2022;12;8;PT
2022;12;25;PT
2021;1;1;PT
2021;4;2;PT
2021;4;4;PT
2021;4;25;PT
2021;5;1;PT
2021;6;10;PT
2021;8;15;PT
2021;10;5;PT
2021;11;1;PT
2021;12;1;PT
2021;12;8;PT
2021;12;25;PT
2020;1;1;PT
2020;4;10;PT
2020;4;12;PT
2020;4;25;PT
2020;5;1;PT
2020;6;10;PT
2020;8;15;PT
2020;10;5;PT
2020;11;1;PT
2020;12;1;PT
2020;12;8;PT
2020;12;25;PT
2019;1;1;PT
2019;4;19;PT
2019;4;21;PT
2019;4;25;PT
2019;5;1;PT
2019;6;10;PT
2019;8;15;PT
2019;10;5;PT
2019;11;1;PT
2019;12;1;PT
2019;12;8;PT
2019;12;25;PT
2018;1;1;PT
2018;3;30;PT
2018;4;1;PT
2018;4;25;PT
2018;5;1;PT
2018;6;10;PT
2018;8;15;PT
2018;10;5;PT
2018;11;1;PT
2018;12;1;PT
2018;12;8;PT
2018;12;25;PT
2017;1;1;PT
2017;4;14;PT
2017;4;16;PT
2017;4;25;PT
2017;5;1;PT
2017;6;10;PT
2017;8;15;PT
2017;10;5;PT
2017;11;1;PT
2017;12;1;PT
2017;12;8;PT
2017;12;25;PT
2016;1;1;PT
2016;3;25;PT
2016;3;27;PT
2016;4;25;PT
2016;5;1;PT
2016;6;10;PT
2016;8;15;PT
2016;10;5;PT
2016;11;1;PT
2016;12;1;PT
2016;12;8;PT
2016;12;25;PT
2015;1;1;PT
2015;4;3;PT
2015;4;5;PT
2015;4;25;PT
2015;5;1;PT
2015;6;10;PT
2015;8;15;PT
2015;10;5;PT
2015;11;1;PT
2015;12;1;PT
2015;12;8;PT
2015;12;25;PT
2014;1;1;PT
2014;4;18;PT
2014;4;20;PT
2014;4;25;PT
2014;5;1;PT
2014;6;10;PT
2014;8;15;PT
2014;10;5;PT
2014;11;1;PT
2014;12;1;PT
2014;12;8;PT
2014;12;25;PT
2013;1;1;PT
2013;3;29;PT
2013;3;31;PT
2013;4;25;PT
2013;5;1;PT
2013;6;10;PT
2013;8;15;PT
2013;10;5;PT
2013;11;1;PT
2013;12;1;PT
2013;12;8;PT
2013;12;25;PT
